ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
A00000,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Mobile app,Long-Term,Slack,Waterfall,,Korean,Healthcare
A00007,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Mobile app,Short-Term,Microsoft Teams,Agile,,English,Finance
A00010,11,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,E-commerce platform,Full-Time,Zoom,Waterfall,PMP,English,Healthcare
A00017,15,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,E-commerce platform,Freelancer,Slack,Agile,PMP,English,Healthcare
A00021,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,E-commerce platform,Freelancer,Slack,Agile,,English,Finance
A00026,8,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,E-commerce platform,Short-Term,Zoom,Waterfall,AWS Certified,Korean,Healthcare
A00027,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,PMP,Korean,Education
A00029,1,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development - Web Development - Data Engineer,Open Source Contribution,Mid-Term,Microsoft Teams,Waterfall,,English,Healthcare
A00034,12,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Data Science - Frontend Developer,Cloud infrastructure,Full-Time,Slack,Waterfall,PMP,English,Healthcare
A00036,15,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Mobile app,Part-Time,Slack,Waterfall,PMP,English,Finance
A00040,12,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Short-Term,Zoom,Agile,PMP,English,Education
A00045,7,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Company Project,Part-Time,Slack,Agile,PMP,English,Healthcare
A00049,15,"Java, Spring, Node.js, MySQL","Java, MySQL",Data Science - Backend Developer,Company Project,Full-Time,Microsoft Teams,Waterfall,PMP,English,Healthcare
A00052,1,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Web Development - Web Development - Data Engineer,Open Source Contribution,Part-Time,Slack,Agile,,English,Technology
A00058,1,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Long-Term,Slack,Waterfall,,English,Education
A00059,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,E-commerce platform,Freelancer,Microsoft Teams,Waterfall,,English,Education
A00061,9,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",DevOps - Frontend Developer,Cloud infrastructure,Short-Term,Microsoft Teams,Agile,PMP,English,Education
A00063,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Mobile app,Mid-Term,Zoom,Waterfall,,Korean,Finance
A00065,1,"Java, Spring, Node.js, MySQL","Java, MySQL",DevOps - Backend Developer,E-commerce platform,Long-Term,Zoom,Agile,AWS Certified,English,Technology
A00069,13,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",Web Development - DevOps Engineer,Cloud infrastructure,Full-Time,Slack,Agile,,English,Healthcare
A00073,10,"JavaScript, HTML, CSS, React","JavaScript, HTML, CSS",Web Development - Frontend Developer,Mobile app,Short-Term,Microsoft Teams,Agile,AWS Certified,Korean,Finance
A00076,5,"Java, Spring, Node.js, MySQL","Java, MySQL",Web Development - Backend Developer,Mobile app,Full-Time,Microsoft Teams,Waterfall,PMP,English,Finance
A00081,6,"Docker, Kubernetes, AWS, CI/CD","Bash, Python",DevOps - DevOps Engineer,Mobile app,Freelancer,Slack,Waterfall,AWS Certified,English,Finance
A00084,12,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Long-Term,Zoom,Agile,AWS Certified,English,Healthcare
A00085,6,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Data Science - Data Scientist,Company Project,Part-Time,Slack,Agile,PMP,English,Finance
A00087,5,"Python, Pandas, Scikit-learn, SQL","Python, SQL",Web Development - Web Development - Data Scientist,Cloud infrastructure,Freelancer,Slack,Waterfall,PMP,English,Healthcare
