ID,Experience/Team_Size,Technical_Skills,Programming_Languages,Field,Role,Project_Description,Availability/Project_Duration,Communication_Tools,Work_Preference,Certifications,Languages,Industry
TL00000,8.92496325608445,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Frontend Developer,Mobile app,Long-Term,Slack,Waterfall,None,Korean,Healthcare
TL00001,-5.860160019373925,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,Frontend Developer,Cloud infrastructure,Mid-Term,Slack,Waterfall,AWS Certified,Chinese,Technology
TL00002,14.590642567450946,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,DevOps,Mobile app,Freelancer,Zoom,Agile,None,Spanish,Technology
TL00003,5.297022659754829,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,Data Engineer,Cloud infrastructure,Mid-Term,Slack,Agile,PMP,Chinese,Finance
TL00004,-0.8601912439807933,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,DevOps,Company Project,Short-Term,Slack,Waterfall,PMP,Chinese,Healthcare
TL00005,4.951769045207209,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Data Science,Backend Developer,Company Project,Part-Time,Slack,Waterfall,PMP,Chinese,Education
TL00006,-5.2758242960247035,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,Frontend Developer,Cloud infrastructure,Freelancer,Slack,Agile,None,Chinese,Technology
TL00007,-0.7169611751143563,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,Data Scientist,Mobile app,Short-Term,Microsoft Teams,Agile,None,English,Finance
TL00008,9.019244638981494,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Frontend Developer,Cloud infrastructure,Long-Term,Zoom,Agile,AWS Certified,Chinese,Education
TL00009,9.604757293058732,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,Backend Developer,Mobile app,Long-Term,Slack,Waterfall,None,Korean,Technology
TL00010,10.162065039967896,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,E-commerce platform,Full-Time,Zoom,Waterfall,PMP,Chinese,Healthcare
TL00011,8.04243757889179,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Company Project,Freelancer,Microsoft Teams,Agile,AWS Certified,Chinese,Finance
TL00012,3.1767425779769436,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,Data Scientist,Mobile app,Long-Term,Slack,Waterfall,None,Chinese,Healthcare
TL00013,7.639320380758021,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Data Science,Data Engineer,E-commerce platform,Long-Term,Slack,Waterfall,AWS Certified,Spanish,Healthcare
TL00014,4.963837782189027,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,Data Engineer,Company Project,Long-Term,Microsoft Teams,Agile,PMP,Spanish,Finance
TL00015,-3.344518900891412,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,DevOps,Cloud infrastructure,Long-Term,Microsoft Teams,Waterfall,PMP,Chinese,Healthcare
TL00016,2.6206740542121967,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Web Development,DevOps,Open Source Contribution,Mid-Term,Zoom,Agile,PMP,English,Healthcare
TL00017,14.238060375828596,"JavaScript, React, Node.js, HTML, CSS","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,E-commerce platform,Freelancer,Slack,Agile,PMP,Chinese,Healthcare
TL00018,19.122474608258536,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",DevOps,Data Engineer,Company Project,Freelancer,Slack,Waterfall,None,Chinese,Finance
TL00019,12.57253495139108,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Web Development,Frontend Developer,Company Project,Long-Term,Microsoft Teams,Waterfall,PMP,Chinese,Finance
TL00020,18.8107374538082,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Frontend Developer,Open Source Contribution,Long-Term,Zoom,Agile,None,Chinese,Education
TL00021,8.616882431778333,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",Data Science,Frontend Developer,E-commerce platform,Freelancer,Slack,Agile,None,Spanish,Finance
TL00022,20.199536273818417,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Backend Developer,Company Project,Part-Time,Slack,Agile,AWS Certified,English,Finance
TL00023,22.381260294383853,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Data Science,Backend Developer,Mobile app,Freelancer,Slack,Waterfall,PMP,Spanish,Healthcare
TL00024,-4.097277559221077,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Backend Developer,Open Source Contribution,Full-Time,Slack,Waterfall,None,English,Healthcare
TL00025,9.568279841715626,"Python, R, TensorFlow, PyTorch, SQL","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Cloud infrastructure,Freelancer,Zoom,Agile,AWS Certified,English,Education
TL00026,8.62416326439904,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,E-commerce platform,Short-Term,Zoom,Waterfall,AWS Certified,Korean,Healthcare
TL00027,5.055434627964849,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Frontend Developer,Open Source Contribution,Freelancer,Microsoft Teams,Waterfall,PMP,Korean,Education
TL00028,11.458582056521148,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",DevOps,Backend Developer,Open Source Contribution,Full-Time,Slack,Agile,None,Korean,Education
TL00029,8.307471958370298,"Python, R, TensorFlow, PyTorch, SQL","Python, Shell",Web Development,Data Engineer,Open Source Contribution,Mid-Term,Microsoft Teams,Waterfall,None,Chinese,Healthcare
TL00030,2.879073834806042,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,Cloud infrastructure,Mid-Term,Zoom,Agile,None,English,Finance
TL00031,7.834025315939764,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",Data Science,Frontend Developer,Cloud infrastructure,Freelancer,Slack,Waterfall,PMP,English,Healthcare
TL00032,16.440342487177254,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",Web Development,Frontend Developer,Cloud infrastructure,Freelancer,Microsoft Teams,Waterfall,None,Spanish,Healthcare
TL00033,9.295975601281214,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Data Science,DevOps,Mobile app,Part-Time,Slack,Agile,PMP,Chinese,Healthcare
TL00034,12.402531512840348,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",Data Science,Frontend Developer,Cloud infrastructure,Full-Time,Slack,Waterfall,PMP,English,Healthcare
TL00035,6.083346762935441,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",DevOps,Data Engineer,Cloud infrastructure,Full-Time,Zoom,Waterfall,PMP,Korean,Finance
TL00036,11.18001238657347,"Docker, Kubernetes, AWS, CI/CD","Python, R, SQL",Web Development,DevOps,Mobile app,Part-Time,Slack,Waterfall,PMP,Chinese,Finance
TL00037,-0.4326368136891219,"JavaScript, React, Node.js, HTML, CSS","Python, Shell",DevOps,Data Scientist,Open Source Contribution,Full-Time,Microsoft Teams,Waterfall,AWS Certified,English,Healthcare
TL00038,4.526859797439718,"Docker, Kubernetes, AWS, CI/CD","Python, Shell",DevOps,DevOps,Mobile app,Short-Term,Slack,Waterfall,AWS Certified,English,Finance
TL00039,7.302327131788735,"JavaScript, React, Node.js, HTML, CSS","Python, R, SQL",DevOps,Backend Developer,Company Project,Full-Time,Slack,Waterfall,AWS Certified,Chinese,Education
TL00040,-0.9018279447988622,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Data Scientist,Mobile app,Short-Term,Zoom,Agile,PMP,English,Education
TL00041,2.2166291137396916,"Python, R, TensorFlow, PyTorch, SQL","Python, R, SQL",DevOps,Backend Developer,Company Project,Freelancer,Slack,Agile,AWS Certified,Korean,Education
TL00042,10.208710104888869,"Docker, Kubernetes, AWS, CI/CD","JavaScript, TypeScript, HTML, CSS",Web Development,DevOps,Cloud infrastructure,Freelancer,Slack,Agile,PMP,Spanish,Education
